CountyName,PrecinctCode,PrecinctName,PrecinctSplitCode,Description,HouseNum,PrefixDirection,Street,StreetType,SuffixDirection,City,State,PostalCode,Line2,Comment,DayPhone,HandicapAccessible
ALLEGHENY,1160010,BRENTWOOD 00 10,1160010-1,BRENTWOOD LIBRARY - LOWER LEVEL,3501,,BROWNSVILLE,RD,,PITTSBURGH,PA,15227,,,,YES
ALLEGHENY,1170001,BRIDGEVILLE 00 01,1170001-1,BRIDGEVILLE VOL FIRE CO. LOBBY,370,,COMMERCIAL,ST,,BRIDGEVILLE,PA,15017,,,,YES
ALLEGHENY,1170002,BRIDGEVILLE 00 02,1170002-1,BRIDGEVILLE VOL FIRE CO. LOBBY,370,,COMMERCIAL,ST,,BRIDGEVILLE,PA,15017,,,,YES
ALLEGHENY,1170003,BRIDGEVILLE 00 03,1170003-1,BRIDGEVILLE MANOR GYM,601,,MCMILLEN,ST,,BRIDGEVILLE,PA,15017,,,,YES
ALLEGHENY,1170004,BRIDGEVILLE 00 04,1170004-1,BRIDGEVILLE MANOR GYM,601,,MCMILLEN,ST,,BRIDGEVILLE,PA,15017,,,,YES
ALLEGHENY,1180101,CARNEGIE 01 01,1180101-1,CARNEGIE BOROUGH BLDG,1,,VETERANS,WAY,,CARNEGIE,PA,15106,,,,YES
ALLEGHENY,1180102,CARNEGIE 01 02,1180102-1,CARNEGIE BOROUGH BUILDING-COUNCIL CHAMBERS,1,,VETERANS,WAY,,CARNEGIE,PA,15106,,,,YES
ALLEGHENY,1180103,CARNEGIE 01 03,1180103-1,CARNEGIE BOROUGH BUILDING-COUNCIL CHAMBERS,1,,VETERANS,WAY,,CARNEGIE,PA,15106,,,,YES
ALLEGHENY,1180104,CARNEGIE 01 04,1180104-1,CARNEGIE BOROUGH BLDG,1,,VETERANS,WAY,,CARNEGIE,PA,15106,,,,YES
ALLEGHENY,1180201,CARNEGIE 02 01,1180201-1,UKRAINIAN AMERICAN CITIZENS CLUB SOCIAL HALL,302,,MANSFIELD,BLVD,,CARNEGIE,PA,15106,,,,YES
