_id,x,y,fid,perimeter,publicbl_i,facility,facility_c,address,city,zipcode,class,municode
8373,-79.946830339,40.430704056,189,0,39,Schenley Skating Rink,B064,Overlook Dr,Pittsburgh,15217,City of Pittsburgh,100
8374,-80.087120603,40.510528665,190,0,27,Ben Avon Borough Building,,7101 Church Ave,Pittsburgh,15202,,804
8375,-80.027023674,40.417324965,191,0,4,Crane Ave Radio Tower Building,B281,Crane Ave,Pittsburgh,15216,City of Pittsburgh,100
8376,-79.7780134449999,40.542264549,192,0,106,Springdale Borough Building,,325 School St,Springdale,15144,,853
8377,-79.958098381,40.470997508,193,0,38,Schenley Park Maintenance Building,B062,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
8378,-80.132227674,40.512320936,194,0,47,Neville Township Building,,5050 Grand Ave,Pittsburgh,15225,,928
8379,-79.958098381,40.470997508,195,0,40,Schenley Warehouse Building 1,B074,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
8380,-80.12418824,40.391055135,196,0,14,Collier Township Building,,2418 Hilltop Rd,Presto,15142,,905
8381,-79.958098381,40.470997508,197,0,41,Schenley Warehouse Building 2,B156,Service Rd,Pittsburgh,15217,City of Pittsburgh,100
8382,-80.2021664069999,40.4188360530001,198,0,48,North Fayette Township Building,,400 North Branch Rd,Oakdale,15071,,929
8383,-79.997313457,40.452074639,199,0,45,Sue Murray Filter Building,B276,North Canal & Cedar Ave,Pittsburgh,15212,City of Pittsburgh,100
8384,-79.818719452,40.3835125150001,200,0,49,North Versailles Township Building,,1401 Greensburg Ave,North Versailles,15137,,930
8385,-79.80632931,40.393158677,201,0,120,Wilmerding Borough Building,,Commerce & Station St,Wilmerding,15148,,867
8386,-79.883380675,40.4995658140001,202,0,50,O'Hara Township Building,,325 Fox Chapel Rd,Pittsburgh,15238,,931
8387,-80.164457108,40.557643184,203,0,122,Sewickley Heights Borough Building,,Country Club Rd,Sewickley,15143,,869
8388,-79.8013314789999,40.3320019280001,204,0,3,White Oak Borough Building,,2280 Lincoln Way,White Oak,15131,,875
8389,-79.991832975,40.441333221,205,0,23,DHS-Washington Place,DHS-WP,Washington Place,Pittsburgh,15219,Allegheny County,
8390,-80.101365769,40.549583339,206,0,51,Ohio Township Building,,1719 Roosevelt Rd,Pittsburgh,15237,,932
8391,-79.9993429209999,40.436808022,207,0,26,Fort Pitt Commons,L-FPC,445 Fort Pitt Blvd,Pittsburgh,15219,Allegheny County,
8392,-79.819521586,40.4717407530001,208,0,52,Penn Hills Township Building,,12245 Frankstown Rd,Pittsburgh,15235,,934
8393,-80.0171596339999,40.4452623270001,209,0,2,Buhl Planetarium,B375,1 Allegheny Ave,Pittsburgh,15212,City of Pittsburgh,100
8394,-79.983194537,40.47433341,210,0,54,Reserve Township Building,,33 Lonsdale St,Pittsburgh,15212,,937
8395,-79.854546542,40.6211879350001,211,0,15,West Deer Township Building,,109 E Union Rd,Russellton,15076,,952
8396,-80.195171205,40.3941401710001,212,0,97,Oakdale Borough Building,,6115 Noblestown Rd,Oakdale,15071,,844
8397,-79.82891814,40.4203751650001,213,0,16,Wilkins Township Building,,110 Peffer Rd,Turtle Creek,15145,,953
8398,-80.030026736,40.5139159990001,214,0,56,Ross Township Building,,5325 Perrysville Ave,Pittsburgh,15229,,940
8399,-79.767345753,40.3821738780001,215,0,110,Trafford Borough Building,,Fourth St & Duquesne Ave,Trafford,15085,,857
